event_candidate_id,event_id,story_id,story_name,global_sent_id,sent_id,sentence,predicate_raw,predicate,predicate_normalized,normalized_predicate,predicate_index,predicate_pos,predicate_semantic_class,event_content_class_l1,event_content_class_l2,event_semantic_value,event_acceptance_tier,event_acceptance_reason,semantic_mapping_source,semantic_mapping_confidence,behavior_evidence_count,compound_group_id,compound_type,merged_token_indices,serial_verb_group_id,serial_relation_candidate,subject_text,object_text,time_text,location_text,instrument_text,goal_text,modal_marker,is_modal_only,negation_marker,negated,is_negation_only,causative_marker,causer_text,causee_text,embedded_predicate,is_copula_light,is_directional_fragment,is_attribute_non_event,is_causative_marker_only,event_assertion,state_change_applicable,participant_state_polarity,event_state_polarity,state_target_slot,state_trigger,state_scope_text,state_confidence,predicate_validity_score,argument_completeness_score,boundary_reliability_score,semantic_specificity_score,state_evidence_score,event_confidence,event_check_level,accept_decision,rejection_reason,penalty_reasons,srl_args_json,dep_evidence_json,quality_flags,v1_baseline_reference
EC0000085,EV2_0000011,F0001,父亲育儿,19,19,在假期里，三姐妹和小兄弟们在院子里玩耍，爬过院墙到别人的田地里嬉戏；,爬,爬,爬,爬,14,v,空间移动,MOTION_LOCATION,MOVEMENT,schema_valuable,A_SEMANTIC_CHANGE,MOTION_LOCATION:boundary_reliable,semantic_class_rule,0.65,4,,,14,,0,三姐妹和小兄弟们,院墙,在假期里,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""ARGM-TMP"",""在假期里"",0,2],[""A0"",""三姐妹和小兄弟们"",4,8],[""A1"",""院墙"",16,16]]","{""children"":[{""index"":15,""word"":""过"",""label"":""CMP""},{""index"":16,""word"":""院墙"",""label"":""VOB""},{""index"":17,""word"":""到"",""label"":""CMP""},{""index"":22,""word"":""嬉戏"",""label"":""COO""}]}",,03_event_candidates_formal.csv
EC0000104,EV2_0000012,F0001,父亲育儿,22,22,正玩得开心时，不料“车夫”拉车用力过猛，双手失去控制，一下把“乘客”抛了出去。,开心,开心,开心,开心,3,a,正向变化/改善,STATE_CHANGE,POSITIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,2,,,3,,0,,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,positive,positive,unknown,开心,玩得开心时,0.8,0.9,0.35,0.9,0.9,0.8,0.775,high,accepted,,,[],"{""children"":[]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000107,EV2_0000013,F0001,父亲育儿,22,22,正玩得开心时，不料“车夫”拉车用力过猛，双手失去控制，一下把“乘客”抛了出去。,失去,失去,失去,失去,16,v,损伤/负向变化,STATE_CHANGE,NEGATIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,4,,,16,,0,双手,控制,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,negative,negative,OBJ,失去,双手失去控制,0.8,0.9,0.9,0.9,0.9,0.8,0.885,high,accepted,,,"[[""A1"",""控制"",17,17]]","{""children"":[{""index"":15,""word"":""双手"",""label"":""SBV""},{""index"":17,""word"":""控制"",""label"":""VOB""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000113,EV2_0000014,F0001,父亲育儿,23,23,“车夫”愣在那里傻了眼，知道自己闯了祸；,知道,知道,知道,知道,10,v,感知/寻找/识别,PERCEPTION_DISCOVERY,PERCEPTION_OR_SEARCH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light,semantic_class_rule,0.65,3,,,10,,0,,自己闯了祸,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A1"",""自己闯了祸"",11,14]]","{""children"":[{""index"":12,""word"":""闯"",""label"":""VOB""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000117,EV2_0000015,F0001,父亲育儿,24,24,“乘客”又疼痛又委屈，满脸不高兴。,高兴,高兴,高兴,高兴,11,a,正向变化/改善,STATE_CHANGE,POSITIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,2,,,11,,0,满脸,,,,,,,0,不,1,0,,,,,0,0,0,0,negated,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A0"",""满脸"",8,9],[""ARGM-ADV"",""不"",10,10]]","{""children"":[{""index"":9,""word"":""脸"",""label"":""SBV""},{""index"":10,""word"":""不"",""label"":""ADV""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000118,EV2_0000016,F0001,父亲育儿,25,25,这件事被宋嘉树知道了，他慈爱地对宋霭龄说：“做游戏也要有分寸，‘黄包车夫’可不光是使力气呀！,知道,知道,知道,知道,5,v,感知/寻找/识别,PERCEPTION_DISCOVERY,PERCEPTION_OR_SEARCH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,5,,0,宋嘉树,事,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""A0"",""宋嘉树"",4,4]]","{""children"":[{""index"":2,""word"":""事"",""label"":""FOB""},{""index"":3,""word"":""被"",""label"":""ADV""},{""index"":6,""word"":""了"",""label"":""RAD""},{""index"":7,""word"":""，"",""label"":""WP""},{""index"":13,""word"":""说"",""label"":""COO""},{""index"":33,""word"":""！"",""label"":""WP""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000119,EV2_0000017,F0001,父亲育儿,25,25,这件事被宋嘉树知道了，他慈爱地对宋霭龄说：“做游戏也要有分寸，‘黄包车夫’可不光是使力气呀！,说,说,说,说,13,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,13,,0,他,“做游戏也要有分寸，‘黄包车夫’可不光是使力气呀,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""A1"",""“做游戏也要有分寸，‘黄包车夫’可不光是使力气呀"",15,32]]","{""children"":[{""index"":8,""word"":""他"",""label"":""SBV""},{""index"":9,""word"":""慈爱"",""label"":""ADV""},{""index"":11,""word"":""对"",""label"":""ADV""},{""index"":14,""word"":""："",""label"":""WP""},{""index"":20,""word"":""有"",""label"":""VOB""},{""index"":29,""word"":""是"",""label"":""VOB""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000125,EV2_0000018,F0001,父亲育儿,26,26,伤了乘客还怎么拉生意呢？,伤,伤,伤,伤,0,v,损伤/负向变化,STATE_CHANGE,NEGATIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,3,,,0,,0,,乘客,,,,,,0,,0,0,,,,,0,0,0,0,questioned,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A1"",""乘客"",2,2]]","{""children"":[{""index"":1,""word"":""了"",""label"":""RAD""}]}",question_or_inquiry,03_event_candidates_formal.csv
EC0000127,EV2_0000019,F0001,父亲育儿,27,27,”小霭龄不好意思地笑了。,笑,笑,笑,笑,5,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；predicate_not_light,semantic_class_rule,0.65,2,,,5,,0,小霭龄,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A0"",""小霭龄"",1,2],[""ARGM-ADV"",""不好意思地"",3,4]]","{""children"":[{""index"":0,""word"":""”"",""label"":""WP""},{""index"":2,""word"":""霭龄"",""label"":""SBV""},{""index"":3,""word"":""不好意思"",""label"":""ADV""},{""index"":6,""word"":""了"",""label"":""RAD""},{""index"":7,""word"":""。"",""label"":""WP""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000128,EV2_0000020,F0001,父亲育儿,28,28,宋嘉树又笑着对宋庆龄说：“我们的‘乘客’这样宽宏大量，这样勇敢坚强，真是了不起！,笑,笑,笑,笑,2,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；predicate_not_light,semantic_class_rule,0.65,2,,,2,,0,宋嘉树,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A0"",""宋嘉树"",0,0],[""ARGM-ADV"",""又"",1,1]]","{""children"":[{""index"":0,""word"":""宋嘉树"",""label"":""SBV""},{""index"":1,""word"":""又"",""label"":""ADV""},{""index"":3,""word"":""着"",""label"":""RAD""},{""index"":4,""word"":""对"",""label"":""ADV""},{""index"":6,""word"":""说"",""label"":""COO""},{""index"":24,""word"":""！"",""label"":""WP""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000129,EV2_0000021,F0001,父亲育儿,28,28,宋嘉树又笑着对宋庆龄说：“我们的‘乘客’这样宽宏大量，这样勇敢坚强，真是了不起！,说,说,说,说,6,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,6,,0,宋嘉树,“我们的‘乘客’这样宽宏大量，这样勇敢坚强，真是了不起,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""A0"",""宋嘉树"",0,0],[""ARGM-ADV"",""又"",1,1],[""A1"",""“我们的‘乘客’这样宽宏大量，这样勇敢坚强，真是了不起"",8,23]]","{""children"":[{""index"":7,""word"":""："",""label"":""WP""},{""index"":15,""word"":""宽宏"",""label"":""VOB""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000138,EV2_0000022,F0001,父亲育儿,30,30,长大以后，庆龄真的成为一位既富有爱心和宽容，又面对邪恶势力敢于斗争的伟大女性！,长大,长大,长大,长大,0,v,正向变化/改善,STATE_CHANGE,POSITIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,2,,,0,,0,,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,positive,positive,unknown,长大,长大以后,0.8,0.9,0.35,0.9,0.9,0.8,0.775,high,accepted,,,[],"{""children"":[]}",,03_event_candidates_formal.csv
EC0000145,EV2_0000023,F0002,炉口的煤渣【中国寓言故事】,31,1,煤渣刚离开炉口，身上还散发着热气，这时，近旁一块废铁冷冰冰地说道： “哟，你就是埋藏亿万年，曾被称做‘乌金’的角色？,离开,离开,离开,离开,2,v,空间移动,MOTION_LOCATION,MOVEMENT,schema_valuable,A_SEMANTIC_CHANGE,MOTION_LOCATION:boundary_reliable,semantic_class_rule,0.65,4,,,2,,0,煤渣,炉口,,,,,,0,,0,0,,,,,0,0,0,0,questioned,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""A0"",""煤渣"",0,0],[""ARGM-ADV"",""刚"",1,1],[""A1"",""炉口"",3,3]]","{""children"":[{""index"":0,""word"":""煤渣"",""label"":""SBV""},{""index"":1,""word"":""刚"",""label"":""ADV""},{""index"":3,""word"":""炉口"",""label"":""VOB""},{""index"":4,""word"":""，"",""label"":""WP""},{""index"":7,""word"":""散发"",""label"":""COO""},{""index"":10,""word"":""，"",""label"":""WP""},{""index"":20,""word"":""说道"",""label"":""COO""},{""index"":40,""word"":""？"",""label"":""WP""}]}",dialogue_or_quote；question_or_inquiry,03_event_candidates_formal.csv
EC0000163,EV2_0000024,F0002,炉口的煤渣【中国寓言故事】,35,5,” “那是一段难忘的生活，”煤渣动情地说，“也是我尽义务的最好时光。,说,说,说,说,13,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；predicate_not_light,semantic_class_rule,0.65,2,,,13,,0,煤渣,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,[],"{""children"":[{""index"":9,""word"":""”"",""label"":""WP""},{""index"":10,""word"":""煤渣"",""label"":""SBV""},{""index"":11,""word"":""动情"",""label"":""ADV""},{""index"":14,""word"":""，"",""label"":""WP""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000166,EV2_0000025,F0002,炉口的煤渣【中国寓言故事】,35,5,” “那是一段难忘的生活，”煤渣动情地说，“也是我尽义务的最好时光。,好,好,好,好,23,a,正向变化/改善,STATE_CHANGE,POSITIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,2,,,23,,0,,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,positive,positive,unknown,好,的最好时光,0.8,0.9,0.35,0.9,0.9,0.8,0.775,high,accepted,,,[],"{""children"":[{""index"":22,""word"":""最"",""label"":""ADV""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000169,EV2_0000026,F0002,炉口的煤渣【中国寓言故事】,36,6,” “看来，你毕竟太傻了，”废铁说，“你们献出了一切，又有过辉煌的业绩，可如今还剩下什么？,说,说,说,说,11,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,11,,0,废铁,献,,,,,,0,,0,0,,,,,0,0,0,0,questioned,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,[],"{""children"":[{""index"":9,""word"":""”"",""label"":""WP""},{""index"":10,""word"":""废铁"",""label"":""SBV""},{""index"":12,""word"":""，"",""label"":""WP""},{""index"":15,""word"":""献"",""label"":""VOB""}]}",dialogue_or_quote；question_or_inquiry,03_event_candidates_formal.csv
EC0000174,EV2_0000027,F0002,炉口的煤渣【中国寓言故事】,37,7,哎，哎…” 废铁悲天悯人的神态，终于激恼了煤渣，它不客气地说道： “据我所看，老弟，你应该回炉才行，不要老在这儿说风凉话了，其实，我也没有时间听你的感叹。,激恼,激恼,激恼,激恼,12,v,损伤/负向变化,STATE_CHANGE,NEGATIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,4,,,12,,0,神态,煤渣,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,negative,negative,OBJ,激恼,终于激恼了煤渣,0.8,0.9,0.9,0.9,0.9,0.8,0.885,high,accepted,,,"[[""ARGM-ADV"",""终于"",11,11],[""A1"",""煤渣"",14,14]]","{""children"":[{""index"":0,""word"":""哎"",""label"":""ADV""},{""index"":2,""word"":""哎"",""label"":""ADV""},{""index"":3,""word"":""…"",""label"":""WP""},{""index"":9,""word"":""神态"",""label"":""SBV""},{""index"":11,""word"":""终于"",""label"":""ADV""},{""index"":13,""word"":""了"",""label"":""RAD""},{""index"":14,""word"":""煤渣"",""label"":""VOB""},{""index"":15,""word"":""，"",""label"":""WP""},{""index"":20,""word"":""说道"",""label"":""COO""},{""index"":54,""word"":""。"",""label"":""WP""}]}",dialogue_or_quote,03_event_candidates_formal.csv
EC0000176,EV2_0000028,F0002,炉口的煤渣【中国寓言故事】,37,7,哎，哎…” 废铁悲天悯人的神态，终于激恼了煤渣，它不客气地说道： “据我所看，老弟，你应该回炉才行，不要老在这儿说风凉话了，其实，我也没有时间听你的感叹。,看,看,看,看,26,v,感知/寻找/识别,PERCEPTION_DISCOVERY,PERCEPTION_OR_SEARCH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；predicate_not_light,semantic_class_rule,0.65,2,,,26,,0,我,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A0"",""我"",24,24]]","{""children"":[{""index"":24,""word"":""我"",""label"":""SBV""},{""index"":25,""word"":""所"",""label"":""LAD""}]}",dialogue_or_quote,03_event_candidates_formal.csv
